"Messstellennummer";"Messstellenbezeichnung";"Datum";"Abfluss in m³/s"
2377050700;Siebeldingen Queich;14.6.2020;1.0891
2377050700;Siebeldingen Queich;15.6.2020;0.914
2377050700;Siebeldingen Queich;16.6.2020;0.8506
2377050700;Siebeldingen Queich;17.6.2020;1.2938
2377050700;Siebeldingen Queich;18.6.2020;1.1694
2377050700;Siebeldingen Queich;19.6.2020;0.841
2377050700;Siebeldingen Queich;20.6.2020;0.7752
2377050700;Siebeldingen Queich;21.6.2020;0.7523
2377050700;Siebeldingen Queich;22.6.2020;0.7357
2377050700;Siebeldingen Queich;23.6.2020;0.7159
2377050700;Siebeldingen Queich;24.6.2020;0.6984
2377050700;Siebeldingen Queich;25.6.2020;0.6911
2377050700;Siebeldingen Queich;26.6.2020;0.7558
2377050700;Siebeldingen Queich;27.6.2020;0.8266
2377050700;Siebeldingen Queich;28.6.2020;0.7138
2377050700;Siebeldingen Queich;29.6.2020;0.7225
2377050700;Siebeldingen Queich;30.6.2020;0.685
2377050700;Siebeldingen Queich;1.7.2020;0.6715
2377050700;Siebeldingen Queich;2.7.2020;0.6869
2377050700;Siebeldingen Queich;3.7.2020;0.6568
2377050700;Siebeldingen Queich;4.7.2020;0.6213
2377050700;Siebeldingen Queich;5.7.2020;0.6488
2377050700;Siebeldingen Queich;6.7.2020;0.639
2377050700;Siebeldingen Queich;7.7.2020;0.6106
2377050700;Siebeldingen Queich;8.7.2020;0.6329
2377050700;Siebeldingen Queich;9.7.2020;0.6286
2377050700;Siebeldingen Queich;10.7.2020;0.6116
2377050700;Siebeldingen Queich;11.7.2020;0.6034
2377050700;Siebeldingen Queich;12.7.2020;0.6015
2377050700;Siebeldingen Queich;13.7.2020;0.5687
2377050700;Siebeldingen Queich;14.7.2020;0.6017
2377050700;Siebeldingen Queich;15.7.2020;0.7109
2377050700;Siebeldingen Queich;16.7.2020;0.7005
2377050700;Siebeldingen Queich;17.7.2020;0.6595
2377050700;Siebeldingen Queich;18.7.2020;0.5915
2377050700;Siebeldingen Queich;19.7.2020;0.6024
2377050700;Siebeldingen Queich;20.7.2020;0.5914
2377050700;Siebeldingen Queich;21.7.2020;0.5496
2377050700;Siebeldingen Queich;22.7.2020;0.5644
2377050700;Siebeldingen Queich;23.7.2020;0.5635
2377050700;Siebeldingen Queich;24.7.2020;0.5649
2377050700;Siebeldingen Queich;25.7.2020;0.5626
2377050700;Siebeldingen Queich;26.7.2020;0.6122
2377050700;Siebeldingen Queich;27.7.2020;0.5838
2377050700;Siebeldingen Queich;28.7.2020;0.5373
2377050700;Siebeldingen Queich;29.7.2020;0.5312
2377050700;Siebeldingen Queich;30.7.2020;0.5264
2377050700;Siebeldingen Queich;31.7.2020;0.5227
2377050700;Siebeldingen Queich;1.8.2020;0.5365
2377050700;Siebeldingen Queich;2.8.2020;0.5433
2377050700;Siebeldingen Queich;3.8.2020;0.9256
2377050700;Siebeldingen Queich;4.8.2020;0.947
2377050700;Siebeldingen Queich;5.8.2020;0.5969
2377050700;Siebeldingen Queich;6.8.2020;0.5487
2377050700;Siebeldingen Queich;7.8.2020;0.5395
2377050700;Siebeldingen Queich;8.8.2020;0.5196
2377050700;Siebeldingen Queich;9.8.2020;0.5223
2377050700;Siebeldingen Queich;10.8.2020;0.5252
2377050700;Siebeldingen Queich;11.8.2020;0.5193
2377050700;Siebeldingen Queich;12.8.2020;0.5201
2377050700;Siebeldingen Queich;13.8.2020;0.5447
2377050700;Siebeldingen Queich;14.8.2020;0.5555
2377050700;Siebeldingen Queich;15.8.2020;0.5445
2377050700;Siebeldingen Queich;16.8.2020;0.5469
2377050700;Siebeldingen Queich;17.8.2020;0.6261
2377050700;Siebeldingen Queich;18.8.2020;0.6734
2377050700;Siebeldingen Queich;19.8.2020;0.6011
2377050700;Siebeldingen Queich;20.8.2020;0.5439
2377050700;Siebeldingen Queich;21.8.2020;0.5275
2377050700;Siebeldingen Queich;22.8.2020;0.8
2377050700;Siebeldingen Queich;23.8.2020;0.572
2377050700;Siebeldingen Queich;24.8.2020;0.5442
2377050700;Siebeldingen Queich;25.8.2020;0.5338
2377050700;Siebeldingen Queich;26.8.2020;0.5044
